000101
$$  VEL-MODFILE Format 2001.09.26
$$  File was generated by UP_VELMOD at 2005.08.18-11:21:23
$$
$$  VLBI station velocities
$$  ~~~~~~~~~~~~~~~~~~~~~~~
$$
$$  Obtained from solution /tmp/2005d_3.vel
$$  Velocitites of some stations a replaced by values from /data1/save_files/itrf2000.vel
$$  They overwrote velocities from the solution.
$$  Velocities which were not estimated are taken from /lyra3/sol/2005b/2005b_apr.vel
$$
$$
$$  Modifications:
$$  Who  When        What
$$  pet  2005.12.22  Added velocities of BADARY, ZELENCHK, VERAIRIK, VERAISGK,
$$                   VERAOGSW. Set their velocity to NNR-NUVEL1A 
$$  pet  2005.12.29  Added velocity of station GEOCENTR
$$  pet  2006.01.19  Added velocity of DSS65A ( the same as DSS65 )
$$  pet  2006.03.30  Updated velocty of SINTOTU and  SINTOTU3
$$  pet  2006.09.05  Added apriori velocity of ATCA-104, CEDUNA and MOPRA --
$$                   NUVEL-NNR
$$  pet  2008.12.24  Added apriori velocity of CAMBRIDG, JODRELL2, TORUN and
$$                   WSTRB-07
$$  pet  2009.04.10  Added apriori velocity of DSS63
$$  pet  2010.09.12  Added stations ASKAP and WARKWORT   
$$  pet  2010.09.18  Added station  ATCAPN5
$$  pet  2010.11.08  Added HOBART12
$$  pet  2011.02.07  Added DSS34
$$  dad  2013.04.23  Added ARECIBO from re03fw.vex
$$
    MILESMON          -14.00           -0.50           -7.40    2005d_3.vel
    MIURA              10.53            4.81            3.20    2005d_3.vel
    MIYAZAKI          -11.26           -4.20          -17.62    2005d_3.vel
    MIYUN50           -44.40           14.10           -1.30    BEIJING
    MIZNAO10            3.35            5.70           -3.32    2005d_3.vel 
    MIZUSGSI            3.35            5.70           -3.32    as MIZNAO10 
    MK-VLBA           -13.50           63.10           29.60    itrf2000.vel
    MOJ 7288          -16.10            5.90           -5.10    as MOJAVE12 
    MOJAVE12          -16.10            5.90           -5.10    itrf2000.vel
    MON PEAK          -31.21           31.26            7.88    2005d_3.vel
    MOPRA             -34.47           -3.61           45.97    NNR-NUVEL1A
    MV2ONSLA          -13.38           15.07            8.30    2005d_3.vel
    NL-VLBA           -15.10            1.00           -3.70    itrf2000.vel
    NOBEY 6M           -3.61            7.69          -10.95    2005d_3.vel
    NOME              -26.51           -8.43           -3.29    2005d_3.vel
    NOTO              -17.30           17.40           13.40    itrf2000.vel
    NOTOX             -17.30           17.40           13.40    as NOTO 
    NRAO 140          -13.67           -0.05            0.18    as NRAO20
    NRAO20            -14.60           -0.80            0.60    itrf2000.vel
    NRAO85 1          -13.67           -0.05            0.18    as NRAO20
    NRAO85 3          -13.67           -0.05            0.18    as NRAO20
    NWNORCIA          -45.00           10.00           47.00    iz ineta
