! tile     RA          DEC
! number   [rad]       [rad]
    357    5.497787    +1.404755
    358    5.618618    +1.404755
    359    5.739448    +1.404755
    360    5.860279    +1.404755
    361    5.981109    +1.404755
    362    6.101940    +1.404755
    363    6.222770    +1.404755
    364    0.056100    +1.391949
    365    0.168300    +1.391949
    366    0.280499    +1.391949
    367    0.392699    +1.391949
    368    0.504899    +1.391949
    369    0.617099    +1.391949
    370    0.729298    +1.391949
    371    0.841498    +1.391949
    372    0.953698    +1.391949
    373    1.065898    +1.391949
    374    1.178097    +1.391949
    375    1.290297    +1.391949
    376    1.402497    +1.391949
    377    1.514696    +1.391949
    378    1.626896    +1.391949
    379    1.739096    +1.391949
    380    1.851296    +1.391949
    381    1.963495    +1.391949
    382    2.075695    +1.391949
    383    2.187895    +1.391949
    384    2.300095    +1.391949
    385    2.412294    +1.391949
    386    2.524494    +1.391949
    387    2.636694    +1.391949
    388    2.748894    +1.391949
    389    2.861093    +1.391949
    390    2.973293    +1.391949
    391    3.085493    +1.391949
    392    3.197693    +1.391949
    393    3.309892    +1.391949
    394    3.422092    +1.391949
    395    3.534292    +1.391949
    396    3.646491    +1.391949
    397    3.758691    +1.391949
    398    3.870891    +1.391949
    399    3.983091    +1.391949
    400    4.095290    +1.391949
    401    4.207490    +1.391949
    402    4.319690    +1.391949
    403    4.431890    +1.391949
    404    4.544089    +1.391949
    405    4.656289    +1.391949
    406    4.768489    +1.391949
    407    4.880689    +1.391949
    408    4.992888    +1.391949
    409    5.105088    +1.391949
    410    5.217288    +1.391949
    411    5.329488    +1.391949
    412    5.441687    +1.391949
    413    5.553887    +1.391949
    414    5.666087    +1.391949
    415    5.778286    +1.391949
    416    5.890486    +1.391949
    417    6.002686    +1.391949
    418    6.114886    +1.391949
    419    6.227085    +1.391949
    420    0.052360    +1.379137
    421    0.157080    +1.379137
    422    0.261799    +1.379137
    423    0.366519    +1.379137
    424    0.471239    +1.379137
    425    0.575959    +1.379137
    426    0.680678    +1.379137
    427    0.785398    +1.379137
    428    0.890118    +1.379137
    429    0.994838    +1.379137
    430    1.099557    +1.379137
    431    1.204277    +1.379137
    432    1.308997    +1.379137
    433    1.413717    +1.379137
    434    1.518436    +1.379137
    435    1.623156    +1.379137
    436    1.727876    +1.379137
    437    1.832596    +1.379137
    438    1.937315    +1.379137
    439    2.042035    +1.379137
    440    2.146755    +1.379137
    441    2.251475    +1.379137
    442    2.356194    +1.379137
    443    2.460914    +1.379137
    444    2.565634    +1.379137
    445    2.670354    +1.379137
    446    2.775074    +1.379137
    447    2.879793    +1.379137
    448    2.984513    +1.379137
    449    3.089233    +1.379137
    450    3.193953    +1.379137
    451    3.298672    +1.379137
    452    3.403392    +1.379137
    453    3.508112    +1.379137
    454    3.612832    +1.379137
    455    3.717551    +1.379137
    456    3.822271    +1.379137
    457    3.926991    +1.379137
    458    4.031711    +1.379137
    459    4.136430    +1.379137
    460    4.241150    +1.379137
    461    4.345870    +1.379137
    462    4.450590    +1.379137
    463    4.555309    +1.379137
    464    4.660029    +1.379137
    465    4.764749    +1.379137
    466    4.869469    +1.379137
    467    4.974188    +1.379137
    468    5.078908    +1.379137
    469    5.183628    +1.379137
    470    5.288348    +1.379137
    471    5.393067    +1.379137
    472    5.497787    +1.379137
    473    5.602507    +1.379137
    474    5.707227    +1.379137
    475    5.811946    +1.379137
    476    5.916666    +1.379137
    477    6.021386    +1.379137
    478    6.126106    +1.379137
    479    6.230825    +1.379137
    480    0.049087    +1.366316
    481    0.147262    +1.366316
    482    0.245437    +1.366316
    483    0.343612    +1.366316
    484    0.441786    +1.366316
    485    0.539961    +1.366316
    486    0.638136    +1.366316
    487    0.736311    +1.366316
    488    0.834486    +1.366316
    489    0.932660    +1.366316
    490    1.030835    +1.366316
    491    1.129010    +1.366316
    492    1.227185    +1.366316
    493    1.325359    +1.366316
    494    1.423534    +1.366316
    495    1.521709    +1.366316
    496    1.619884    +1.366316
    497    1.718058    +1.366316
    498    1.816233    +1.366316
    499    1.914408    +1.366316
    500    2.012583    +1.366316
    501    2.110758    +1.366316
    502    2.208932    +1.366316
    503    2.307107    +1.366316
    504    2.405282    +1.366316
    505    2.503457    +1.366316
    506    2.601631    +1.366316
    507    2.699806    +1.366316
    508    2.797981    +1.366316
    509    2.896156    +1.366316
    510    2.994330    +1.366316
    511    3.092505    +1.366316
    512    3.190680    +1.366316
    513    3.288855    +1.366316
    514    3.387030    +1.366316
    515    3.485204    +1.366316
    516    3.583379    +1.366316
    517    3.681554    +1.366316
    518    3.779729    +1.366316
    519    3.877903    +1.366316
    520    3.976078    +1.366316
    521    4.074253    +1.366316
    522    4.172428    +1.366316
    523    4.270603    +1.366316
    524    4.368777    +1.366316
    525    4.466952    +1.366316
    526    4.565127    +1.366316
    527    4.663302    +1.366316
    528    4.761476    +1.366316
    529    4.859651    +1.366316
    530    4.957826    +1.366316
    531    5.056001    +1.366316
    532    5.154175    +1.366316
    533    5.252350    +1.366316
    534    5.350525    +1.366316
    535    5.448700    +1.366316
    536    5.546875    +1.366316
    537    5.645049    +1.366316
    538    5.743224    +1.366316
    539    5.841399    +1.366316
    540    5.939574    +1.366316
    541    6.037748    +1.366316
    542    6.135923    +1.366316
    543    6.234098    +1.366316
    544    0.046200    +1.353487
    545    0.138600    +1.353487
    546    0.230999    +1.353487
    547    0.323399    +1.353487
    548    0.415799    +1.353487
    549    0.508199    +1.353487
    550    0.600599    +1.353487
    551    0.692998    +1.353487
    552    0.785398    +1.353487
    553    0.877798    +1.353487
    554    0.970198    +1.353487
    555    1.062598    +1.353487
    556    1.154997    +1.353487
    557    1.247397    +1.353487
    558    1.339797    +1.353487
    559    1.432197    +1.353487
    560    1.524596    +1.353487
    561    1.616996    +1.353487
    562    1.709396    +1.353487
    563    1.801796    +1.353487
    564    1.894196    +1.353487
    565    1.986595    +1.353487
    566    2.078995    +1.353487
    567    2.171395    +1.353487
    568    2.263795    +1.353487
    569    2.356194    +1.353487
    570    2.448594    +1.353487
    571    2.540994    +1.353487
    572    2.633394    +1.353487
    573    2.725794    +1.353487
    574    2.818193    +1.353487
    575    2.910593    +1.353487
    576    3.002993    +1.353487
    577    3.095393    +1.353487
    578    3.187793    +1.353487
    579    3.280192    +1.353487
    580    3.372592    +1.353487
    581    3.464992    +1.353487
    582    3.557392    +1.353487
    583    3.649791    +1.353487
    584    3.742191    +1.353487
    585    3.834591    +1.353487
    586    3.926991    +1.353487
    587    4.019391    +1.353487
    588    4.111790    +1.353487
    589    4.204190    +1.353487
    590    4.296590    +1.353487
    591    4.388990    +1.353487
    592    4.481390    +1.353487
    593    4.573789    +1.353487
    594    4.666189    +1.353487
    595    4.758589    +1.353487
    596    4.850989    +1.353487
    597    4.943388    +1.353487
    598    5.035788    +1.353487
    599    5.128188    +1.353487
    600    5.220588    +1.353487
    601    5.312988    +1.353487
    602    5.405387    +1.353487
    603    5.497787    +1.353487
    604    5.590187    +1.353487
    605    5.682587    +1.353487
    606    5.774986    +1.353487
    607    5.867386    +1.353487
    608    5.959786    +1.353487
    609    6.052186    +1.353487
    610    6.144586    +1.353487
    611    6.236985    +1.353487
    612    0.043633    +1.340649
    613    0.130900    +1.340649
    614    0.218166    +1.340649
    615    0.305433    +1.340649
    616    0.392699    +1.340649
    617    0.479966    +1.340649
    618    0.567232    +1.340649
    619    0.654498    +1.340649
    620    0.741765    +1.340649
    621    0.829031    +1.340649
    622    0.916298    +1.340649
    623    1.003564    +1.340649
    624    1.090831    +1.340649
    625    1.178097    +1.340649
    626    1.265364    +1.340649
    627    1.352630    +1.340649
    628    1.439897    +1.340649
    629    1.527163    +1.340649
    630    1.614430    +1.340649
    631    1.701696    +1.340649
    632    1.788962    +1.340649
    633    1.876229    +1.340649
    634    1.963495    +1.340649
    635    2.050762    +1.340649
    636    2.138028    +1.340649
    637    2.225295    +1.340649
    638    2.312561    +1.340649
    639    2.399828    +1.340649
    640    2.487094    +1.340649
    641    2.574361    +1.340649
    642    2.661627    +1.340649
    643    2.748894    +1.340649
    644    2.836160    +1.340649
    645    2.923426    +1.340649
    646    3.010693    +1.340649
    647    3.097959    +1.340649
    648    3.185226    +1.340649
    649    3.272492    +1.340649
    650    3.359759    +1.340649
    651    3.447025    +1.340649
    652    3.534292    +1.340649
    653    3.621558    +1.340649
    654    3.708825    +1.340649
    655    3.796091    +1.340649
    656    3.883358    +1.340649
    657    3.970624    +1.340649
    658    4.057891    +1.340649
    659    4.145157    +1.340649
    660    4.232423    +1.340649
    661    4.319690    +1.340649
    662    4.406956    +1.340649
    663    4.494223    +1.340649
    664    4.581489    +1.340649
    665    4.668756    +1.340649
    666    4.756022    +1.340649
    667    4.843289    +1.340649
    668    4.930555    +1.340649
    669    5.017822    +1.340649
    670    5.105088    +1.340649
